Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Delete:      0HHVX1Z Insertion of Radioact Elem into Bi Breast, Extern Approach   Insertion of Radioactive Element into Bilateral Breast, External Approach
Delete:      0HJTXZZ Inspection of Right Breast, External Approach                Inspection of Right Breast, External Approach
Delete:      0HJUXZZ Inspection of Left Breast, External Approach                 Inspection of Left Breast, External Approach
Delete:      0HNTXZZ Release Right Breast, External Approach                      Release Right Breast, External Approach
Delete:      0HNUXZZ Release Left Breast, External Approach                       Release Left Breast, External Approach
Delete:      0HNVXZZ Release Bilateral Breast, External Approach                  Release Bilateral Breast, External Approach
Delete:      0HPTX0Z Removal of Drainage Device from R Breast, Extern Approach    Removal of Drainage Device from Right Breast, External Approach
Delete:      0HPTX1Z Removal of Radioact Elem from R Breast, Extern Approach      Removal of Radioactive Element from Right Breast, External Approach
Delete:      0HPTX7Z Removal of Autol Sub from R Breast, Extern Approach          Removal of Autologous Tissue Substitute from Right Breast, External Approach
Delete:      0HPTXJZ Removal of Synth Sub from R Breast, Extern Approach          Removal of Synthetic Substitute from Right Breast, External Approach
Delete:      0HPTXKZ Removal of Nonaut Sub from R Breast, Extern Approach         Removal of Nonautologous Tissue Substitute from Right Breast, External Approach
Delete:      0HPUX0Z Removal of Drainage Device from Left Breast, Extern Approach Removal of Drainage Device from Left Breast, External Approach
Delete:      0HPUX1Z Removal of Radioact Elem from L Breast, Extern Approach      Removal of Radioactive Element from Left Breast, External Approach
Delete:      0HPUX7Z Removal of Autol Sub from L Breast, Extern Approach          Removal of Autologous Tissue Substitute from Left Breast, External Approach
Delete:      0HPUXJZ Removal of Synth Sub from L Breast, Extern Approach          Removal of Synthetic Substitute from Left Breast, External Approach
Delete:      0HPUXKZ Removal of Nonaut Sub from L Breast, Extern Approach         Removal of Nonautologous Tissue Substitute from Left Breast, External Approach
Delete:      0HQTXZZ Repair Right Breast, External Approach                       Repair Right Breast, External Approach
Delete:      0HQUXZZ Repair Left Breast, External Approach                        Repair Left Breast, External Approach
Delete:      0HQVXZZ Repair Bilateral Breast, External Approach                   Repair Bilateral Breast, External Approach
Delete:      0HQYXZZ Repair Supernumerary Breast, External Approach               Repair Supernumerary Breast, External Approach
Add:         0HR0X72 Replace Scalp Skin w Autol Sub, Cel Susp, Extern             Replacement of Scalp Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR1X72 Replace Face Skin w Autol Sub, Cel Susp, Extern              Replacement of Face Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR2X72 Replace R Ear Skin w Autol Sub, Cel Susp, Extern             Replacement of Right Ear Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR3X72 Replace L Ear Skin w Autol Sub, Cel Susp, Extern             Replacement of Left Ear Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR4X72 Replace Neck Skin w Autol Sub, Cel Susp, Extern              Replacement of Neck Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR5X72 Replace Chest Skin w Autol Sub, Cel Susp, Extern             Replacement of Chest Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR6X72 Replace Back Skin w Autol Sub, Cel Susp, Extern              Replacement of Back Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR7X72 Replace Abd Skin w Autol Sub, Cel Susp, Extern               Replacement of Abdomen Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR8X72 Replace Buttock Skin w Autol Sub, Cel Susp, Extern           Replacement of Buttock Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HR9X72 Replace Perineum Skin w Autol Sub, Cel Susp, Extern          Replacement of Perineum Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRAX72 Replace Inguin Skn w Autol Sub, Cel Susp, Extern             Replacement of Inguinal Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRBX72 Replace R Up Arm Skin w Autol Sub, Cel Susp, Extern          Replacement of Right Upper Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRCX72 Replace L Up Arm Skin w Autol Sub, Cel Susp, Extern          Replacement of Left Upper Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRDX72 Replace R Low Arm Skin w Autol Sub, Cel Susp, Extern         Replacement of Right Lower Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HREX72 Replace L Low Arm Skin w Autol Sub, Cel Susp, Extern         Replacement of Left Lower Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRFX72 Replace R Hand Skin w Autol Sub, Cel Susp, Extern            Replacement of Right Hand Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRGX72 Replace L Hand Skin w Autol Sub, Cel Susp, Extern            Replacement of Left Hand Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRHX72 Replace R Up Leg Skin w Autol Sub, Cel Susp, Extern          Replacement of Right Upper Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRJX72 Replace L Up Leg Skin w Autol Sub, Cel Susp, Extern          Replacement of Left Upper Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRKX72 Replace R Low Leg Skin w Autol Sub, Cel Susp, Extern         Replacement of Right Lower Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRLX72 Replace L Low Leg Skin w Autol Sub, Cel Susp, Extern         Replacement of Left Lower Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRMX72 Replace R Foot Skin w Autol Sub, Cel Susp, Extern            Replacement of Right Foot Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Add:         0HRNX72 Replace L Foot Skin w Autol Sub, Cel Susp, Extern            Replacement of Left Foot Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach
Delete:      0HRTX7Z Replacement of Right Breast with Autol Sub, Extern Approach  Replacement of Right Breast with Autologous Tissue Substitute, External Approach
Delete:      0HRTXJZ Replacement of Right Breast with Synth Sub, Extern Approach  Replacement of Right Breast with Synthetic Substitute, External Approach
Delete:      0HRTXKZ Replacement of Right Breast with Nonaut Sub, Extern Approach Replacement of Right Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0HRUX7Z Replacement of Left Breast with Autol Sub, Extern Approach   Replacement of Left Breast with Autologous Tissue Substitute, External Approach
Delete:      0HRUXJZ Replacement of Left Breast with Synth Sub, Extern Approach   Replacement of Left Breast with Synthetic Substitute, External Approach
Delete:      0HRUXKZ Replacement of Left Breast with Nonaut Sub, Extern Approach  Replacement of Left Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0HRVX7Z Replacement of Bi Breast with Autol Sub, Extern Approach     Replacement of Bilateral Breast with Autologous Tissue Substitute, External Approach
Delete:      0HRVXJZ Replacement of Bi Breast with Synth Sub, Extern Approach     Replacement of Bilateral Breast with Synthetic Substitute, External Approach
Delete:      0HRVXKZ Replacement of Bi Breast with Nonaut Sub, Extern Approach    Replacement of Bilateral Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0HUTX7Z Supplement Right Breast with Autol Sub, Extern Approach      Supplement Right Breast with Autologous Tissue Substitute, External Approach
Delete:      0HUTXJZ Supplement Right Breast with Synth Sub, Extern Approach      Supplement Right Breast with Synthetic Substitute, External Approach
Delete:      0HUTXKZ Supplement Right Breast with Nonaut Sub, Extern Approach     Supplement Right Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0HUUX7Z Supplement Left Breast with Autol Sub, Extern Approach       Supplement Left Breast with Autologous Tissue Substitute, External Approach
Delete:      0HUUXJZ Supplement Left Breast with Synth Sub, Extern Approach       Supplement Left Breast with Synthetic Substitute, External Approach
Delete:      0HUUXKZ Supplement Left Breast with Nonaut Sub, Extern Approach      Supplement Left Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0HUVX7Z Supplement Bilateral Breast with Autol Sub, Extern Approach  Supplement Bilateral Breast with Autologous Tissue Substitute, External Approach
Delete:      0HUVXJZ Supplement Bilateral Breast with Synth Sub, Extern Approach  Supplement Bilateral Breast with Synthetic Substitute, External Approach
Delete:      0HUVXKZ Supplement Bilateral Breast with Nonaut Sub, Extern Approach Supplement Bilateral Breast with Nonautologous Tissue Substitute, External Approach
Delete:      0HWTX0Z Revision of Drainage Device in Right Breast, Extern Approach Revision of Drainage Device in Right Breast, External Approach
Delete:      0HWTX7Z Revision of Autol Sub in R Breast, Extern Approach           Revision of Autologous Tissue Substitute in Right Breast, External Approach
Delete:      0HWTXJZ Revision of Synth Sub in R Breast, Extern Approach           Revision of Synthetic Substitute in Right Breast, External Approach
Delete:      0HWTXKZ Revision of Nonaut Sub in R Breast, Extern Approach          Revision of Nonautologous Tissue Substitute in Right Breast, External Approach
Delete:      0HWUX0Z Revision of Drainage Device in Left Breast, Extern Approach  Revision of Drainage Device in Left Breast, External Approach
Delete:      0HWUX7Z Revision of Autol Sub in L Breast, Extern Approach           Revision of Autologous Tissue Substitute in Left Breast, External Approach
Delete:      0HWUXJZ Revision of Synth Sub in L Breast, Extern Approach           Revision of Synthetic Substitute in Left Breast, External Approach
Delete:      0HWUXKZ Revision of Nonaut Sub in L Breast, Extern Approach          Revision of Nonautologous Tissue Substitute in Left Breast, External Approach
Add:         0JH60FZ Insert Subcu Defib Lead in Chest Subcu/Fascia, Open          Insertion of Subcutaneous Defibrillator Lead into Chest Subcutaneous Tissue and Fascia, Open Approach
Add:         0JH63FZ Insert Subcu Defib Lead in Chest Subcu/Fascia, Perc          Insertion of Subcutaneous Defibrillator Lead into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach
Add:         0JPT0FZ Remove Subcu Defib Lead from Trunk Subcu/Fascia, Open        Removal of Subcutaneous Defibrillator Lead from Trunk Subcutaneous Tissue and Fascia, Open Approach
Add:         0JPT3FZ Remove Subcu Defib Lead from Trunk Subcu/Fascia, Perc        Removal of Subcutaneous Defibrillator Lead from Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach
Add:         0JWT0FZ Revise Subcu Defib Lead in Trunk Subcu/Fascia, Open          Revision of Subcutaneous Defibrillator Lead in Trunk Subcutaneous Tissue and Fascia, Open Approach
Add:         0JWT3FZ Revise Subcu Defib Lead in Trunk Subcu/Fascia, Perc          Revision of Subcutaneous Defibrillator Lead in Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach
Add:         0JWTXFZ Revise Subcu Defib Lead in Trunk Subcu/Fascia, Extern        Revision of Subcutaneous Defibrillator Lead in Trunk Subcutaneous Tissue and Fascia, External Approach
Add:         0PHF07Z Insert Int Limb Length in R Humeral Shaft, Open              Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Right Humeral Shaft, Open Approach
Add:         0PHF37Z Insert Int Limb Length in R Humeral Shaft, Perc              Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Right Humeral Shaft, Percutaneous Approach
Add:         0PHF47Z Insert Int Limb Length in R Humeral Shaft, Perc Endo         Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Right Humeral Shaft, Percutaneous Endoscopic Approach
Add:         0PHG07Z Insert Int Limb Length in L Humeral Shaft, Open              Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Left Humeral Shaft, Open Approach
Add:         0PHG37Z Insert Int Limb Length in L Humeral Shaft, Perc              Insertion of Intramedullary Limb Lengthening Internal Fixation Device into Left Humeral Shaft, Percutaneous Approach
